2026-06-06 09:59:17,614 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 09:59:26,572 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 09:59:35,091 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 09:59:43,522 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 09:59:51,917 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:00,268 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:08,695 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:17,132 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:25,496 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:33,817 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:42,188 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:50,621 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:00:58,976 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:07,352 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:15,847 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:24,181 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:32,543 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:40,889 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:49,222 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:01:57,534 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:02:05,869 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:02:14,315 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:02:31,938 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:02:52,974 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:03:14,951 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:03:36,143 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:03:56,938 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:04:17,832 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:04:38,639 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:04:55,641 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:04,003 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:12,281 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:20,561 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:28,847 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:37,201 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:45,506 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:05:53,826 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:02,123 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:10,403 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:18,686 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:27,043 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:35,442 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:43,821 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:06:52,241 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:00,708 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:09,138 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:17,443 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:25,778 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:34,126 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:42,460 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:50,748 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:07:59,065 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:07,378 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:15,599 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:23,913 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:32,276 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:40,597 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:48,938 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:08:57,236 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:05,600 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:13,882 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:22,590 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:31,639 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:40,509 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:49,298 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:09:58,081 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:07,081 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:16,197 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:26,361 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:35,357 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:43,837 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:10:52,345 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:00,868 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:09,505 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:18,080 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:26,506 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:35,038 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:43,409 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:11:51,835 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:00,277 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:08,875 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:17,662 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:26,091 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:34,532 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:43,054 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:51,470 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:12:59,891 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:08,315 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:16,731 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:25,150 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:33,591 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:41,975 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:50,392 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:13:58,762 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:07,148 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:15,602 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:14:27,121 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
